# Haitaka Anhoku opening suite v1
# Format: <stable-opening-id><TAB><SFEN>
# Curated from deterministic 16-ply legal candidates (seed 20260817).
# Candidates with captures in hand or early promotions were excluded.
anhoku-v1-001	1ng3snl/lrs1kg1b1/ppp1ppp1p/3p3p1/1P7/3P5/P1P1PPPPP/LBGK1S1RL/1NS2G1N1 b - 17
anhoku-v1-002	1nsg1g1nl/l1r1ks1b1/p1p1pppp1/1p6p/3p5/P4P2P/1PPPP1PPL/LBG2S1R1/1NS1KGN2 b - 17
anhoku-v1-003	1nsg2s1l/lr2k1gbn/ppp1p1ppp/3p1p3/P8/7P1/1PPPPPP1P/NB1KG1G1R/L1S3SNL b - 17
anhoku-v1-004	l1n1k1snl/1r2gg1b1/ppsp1pp1p/2p1p2p1/8P/P5P2/1PPPPP1P1/LBGS1K1R1/1N3GSNL b - 17
anhoku-v1-005	l3ng1nl/1rgkss1b1/ppppp1ppp/9/5p3/P3PP3/LPPP2PPP/1B2G2RL/1NS1KGSN1 b - 17
anhoku-v1-006	ln1gg3l/1r1s1ksbn/pp1pp2pp/2p2pp2/1P7/P3P2P1/2PPGPP1P/1BR6/LNS1KGSNL b - 17
anhoku-v1-007	ln1gk2nl/1s2gs1b1/p2pppp1p/1rp3Np1/1p7/3P1P2P/PPP1P1PP1/1BG3GRL/L1S1KS1N1 b - 17
anhoku-v1-008	ln1gk3l/1r1s2sbn/pppp1pgp1/4p1p1p/1P7/9/P1PPPPPPP/LBG1KS1R1/1N1SG2NL b - 17
anhoku-v1-009	ln2kgs2/1rs3nbl/ppppg1ppp/5p3/4p4/1P5P1/P1PPPPP1P/1BSGGS1R1/LN2K2NL b - 17
anhoku-v1-010	lns2gsn1/1rgk3bl/ppp5p/3ppppp1/9/2P3P1P/PP1PPP1PL/1BGK2GR1/LNS3SN1 b - 17
anhoku-v1-011	lns2ks1l/1rg3nb1/p1p1gpppp/1p1pp4/9/5P3/PPPPP1PPP/1BGK2GRL/LN1S3SN b - 17
anhoku-v1-012	n1s2gs1l/lrgk3b1/ppp1pp1pp/3p2pn1/1P5P1/4P4/P1PP1PP1P/1BG1KG1R1/LNS3SNL b - 17
